Artist,Song,Days,PkStreams,Total,listeners,playcount,rank,track_url,artist_url,duration_min,duration,genre,genre_description,artist_listeners,artist_playcount
The Weeknd,Blinding Lights,2162,"8,453,567","5,024,606,061",2221161,36470257,52,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights,https://www.last.fm/music/The+Weeknd,3.333333333333333,3 мин 20 сек,r&b,"R&B is a musical genre that began to develop as a distinct style in the early 1950s. Originally known as rhythm and blues, it was primarily created by African American musicians and drew influence from both blues and early rock 'n' roll, with significant interaction between these genres. Over time, musicians from different backgrounds adopted the style and introduced new elements. In the 1950s, artists like Muddy Waters contributed to shaping the genre by emphasizing faster melodies and energetic rhythms",5050479,1031011466
Harry Styles,As It Was,1265,"16,103,849","3,989,576,372",1867858,39479081,39,https://www.last.fm/music/Harry+Styles/_/As+It+Was,https://www.last.fm/music/Harry+Styles,2.75,2 мин 45 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",3037938,381185399
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,2263,"5,033,261","3,554,729,660",1659244,24440448,214,https://www.last.fm/music/Post+Malone/_/Sunflower+-+Spider-Man:+Into+the+Spider-Verse,https://www.last.fm/music/Post+Malone,2.6166666666666667,2 мин 37 сек,rap,"Rap is a vocal style, usually coming together with hip-hop, the musical genre off-shoot of the hip hop culture. Rapping itself, also known as emceeing, MCing, spitting, or just rhyming, is the rhythmic spoken delivery of rhymes and wordplay. Rapping is one of the four pillars of the hip hop culture, along with DJing, graffiti, and breaking.

Rap is also considered a separate genre from hip hop in some cases where the artists do not make music compatible with the hip hop culture.",3354307,312638678
The Neighbourhood,Sweater Weather,1981,"3,342,205","3,512,352,265",2750909,45328300,29,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather,https://www.last.fm/music/The+Neighbourhood,4.0,4 мин,indie,"The term 'indie' is best known as being an abbreviation for the word 'independent'. This term is used to differentiate between bands that were/are on a major record label and those that weren't. Indie is not a genre of music, and is only a term for bands on independent labels.",3711268,351516624
The Weeknd,Starboy,1956,"5,125,218","3,372,419,265",2172688,30761205,96,https://www.last.fm/music/The+Weeknd/_/Starboy,https://www.last.fm/music/The+Weeknd,3.85,3 мин 51 сек,r&b,"R&B is a musical genre that began to develop as a distinct style in the early 1950s. Originally known as rhythm and blues, it was primarily created by African American musicians and drew influence from both blues and early rock 'n' roll, with significant interaction between these genres. Over time, musicians from different backgrounds adopted the style and introduced new elements. In the 1950s, artists like Muddy Waters contributed to shaping the genre by emphasizing faster melodies and energetic rhythms",5050479,1031011466
Billie Eilish,BIRDS OF A FEATHER,535,"10,082,989","3,133,531,648",2047101,50373144,24,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER,https://www.last.fm/music/Billie+Eilish,3.5,3 мин 30 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",3989143,768279522
Lady Gaga,Die With A Smile,444,"11,621,474","3,064,239,184",1619473,28213934,126,https://www.last.fm/music/Lady+Gaga/_/Die+with+a+Smile,https://www.last.fm/music/Lady+Gaga,4.2,4 мин 12 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",7435460,963915459
Glass Animals,Heat Waves,1358,"5,003,951","3,000,920,519",1429347,22410749,295,https://www.last.fm/music/Glass+Animals/_/Heat+Waves,https://www.last.fm/music/Glass+Animals,3.966666666666667,3 мин 58 сек,electronic,"Electronic music refers to music that emphasizes the use of electronic musical instruments or electronic music technology as a central aspect of the sound of the music. Historically, electronic music was considered to be any music created with the use of electronic musical instruments or electronic processing, but in modern times, that distinction has been lost because almost all recorded music today, and the majority of live music performances, depend on extensive use of electronics.",2474614,126824068
Drake,One Dance,1996,"7,196,287","2,877,666,294",1762093,19903405,403,https://www.last.fm/music/Drake/_/One+Dance,https://www.last.fm/music/Drake,2.9,2 мин 54 сек,hip hop,"Hip hop is a musical genre which developed alongside hip hop culture, defined by key stylistic elements such as rapping, DJing, sampling, scratching and beatboxing. Hip hop began in the Bronx in New York City in the 1970s, primarily among African Americans and Jamaican Americans, with some Latino influences.

The term rap is often used synonymously with hip hop, but hip hop denotes the practices of an entire subculture. Hip hop arose when DJs began isolating the percussion break from funk or disco songs for audiences to dance to.",6480644,1052429419
Tom Odell,Another Love,1661,"3,052,832","2,845,032,113",1364806,17214444,564,https://www.last.fm/music/Tom+Odell/_/Another+Love,https://www.last.fm/music/Tom+Odell,4.066666666666666,4 мин 04 сек,indie,"The term 'indie' is best known as being an abbreviation for the word 'independent'. This term is used to differentiate between bands that were/are on a major record label and those that weren't. Indie is not a genre of music, and is only a term for bands on independent labels.",1930332,46708726
