Artist,Song,listeners,playcount,rank,track_url,artist_url,duration_min,duration,genre,genre_description,artist_listeners,artist_playcount
Jimin,Like Crazy,427328,199861835,1,https://www.last.fm/music/Jimin/_/Like+Crazy,https://www.last.fm/music/Jimin,3.533333333333333,3 мин 32 сек,k-pop,"K-pop means Korean pop, which is a musical genre, sometimes described more as an umbrella term, consisting of different music styles, including hip-hop, rap, jazz, r&b, dance, rock music and ballads. The name for the genre is first recorded in English around 1990–95. Strongly influenced by Western popular music, K-pop took off in 1992 with Seo Taiji and Boys, who incorporated rap, rock, and dance elements into Korean popular music.
Modern K-pop ""idol"" culture began later in the 1990s, as K-pop idol music grew into a subculture.",802534,731046222
Jimin,Who,398100,195455424,2,https://www.last.fm/music/Jimin/_/Who,https://www.last.fm/music/Jimin,2.8333333333333335,2 мин 50 сек,k-pop,"K-pop means Korean pop, which is a musical genre, sometimes described more as an umbrella term, consisting of different music styles, including hip-hop, rap, jazz, r&b, dance, rock music and ballads. The name for the genre is first recorded in English around 1990–95. Strongly influenced by Western popular music, K-pop took off in 1992 with Seo Taiji and Boys, who incorporated rap, rock, and dance elements into Korean popular music.
Modern K-pop ""idol"" culture began later in the 1990s, as K-pop idol music grew into a subculture.",802534,731046222
Jin,Don’t Say You Love Me,192625,176243813,3,https://www.last.fm/music/Jin/_/Don%E2%80%99t+Say+You+Love+Me,https://www.last.fm/music/Jin,3.0,3 мин,hip hop,"Hip hop is a musical genre which developed alongside hip hop culture, defined by key stylistic elements such as rapping, DJing, sampling, scratching and beatboxing. Hip hop began in the Bronx in New York City in the 1970s, primarily among African Americans and Jamaican Americans, with some Latino influences.

The term rap is often used synonymously with hip hop, but hip hop denotes the practices of an entire subculture. Hip hop arose when DJs began isolating the percussion break from funk or disco songs for audiences to dance to.",731195,661235566
Agust D,Haegeum,354464,167833028,4,https://www.last.fm/music/Agust+D/_/Haegeum,https://www.last.fm/music/Agust+D,2.8,2 мин 48 сек,rap,"Rap is a vocal style, usually coming together with hip-hop, the musical genre off-shoot of the hip hop culture. Rapping itself, also known as emceeing, MCing, spitting, or just rhyming, is the rhythmic spoken delivery of rhymes and wordplay. Rapping is one of the four pillars of the hip hop culture, along with DJing, graffiti, and breaking.

Rap is also considered a separate genre from hip hop in some cases where the artists do not make music compatible with the hip hop culture.",778686,486510589
Jung Kook,Standing Next to You,662253,167522946,5,https://www.last.fm/music/Jung+Kook/_/Standing+Next+to+You,https://www.last.fm/music/Jung+Kook,3.433333333333333,3 мин 26 сек,k-pop,"K-pop means Korean pop, which is a musical genre, sometimes described more as an umbrella term, consisting of different music styles, including hip-hop, rap, jazz, r&b, dance, rock music and ballads. The name for the genre is first recorded in English around 1990–95. Strongly influenced by Western popular music, K-pop took off in 1992 with Seo Taiji and Boys, who incorporated rap, rock, and dance elements into Korean popular music.
Modern K-pop ""idol"" culture began later in the 1990s, as K-pop idol music grew into a subculture.",1338717,734646247
BTS,Dynamite,977483,148491839,6,https://www.last.fm/music/BTS/_/Dynamite,https://www.last.fm/music/BTS,3.316666666666667,3 мин 19 сек,k-pop,"K-pop means Korean pop, which is a musical genre, sometimes described more as an umbrella term, consisting of different music styles, including hip-hop, rap, jazz, r&b, dance, rock music and ballads. The name for the genre is first recorded in English around 1990–95. Strongly influenced by Western popular music, K-pop took off in 1992 with Seo Taiji and Boys, who incorporated rap, rock, and dance elements into Korean popular music.
Modern K-pop ""idol"" culture began later in the 1990s, as K-pop idol music grew into a subculture.",2196700,2551382152
BTS,Butter,758606,140245359,7,https://www.last.fm/music/BTS/_/Butter,https://www.last.fm/music/BTS,2.7333333333333334,2 мин 44 сек,k-pop,"K-pop means Korean pop, which is a musical genre, sometimes described more as an umbrella term, consisting of different music styles, including hip-hop, rap, jazz, r&b, dance, rock music and ballads. The name for the genre is first recorded in English around 1990–95. Strongly influenced by Western popular music, K-pop took off in 1992 with Seo Taiji and Boys, who incorporated rap, rock, and dance elements into Korean popular music.
Modern K-pop ""idol"" culture began later in the 1990s, as K-pop idol music grew into a subculture.",2196700,2551382152
V,Love Me Again,381577,137076627,8,https://www.last.fm/music/V/_/Love+Me+Again,https://www.last.fm/music/V,3.033333333333333,3 мин 02 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",850863,661435983
BTS,FAKE LOVE,737334,119523532,9,https://www.last.fm/music/BTS/_/FAKE+LOVE,https://www.last.fm/music/BTS,4.033333333333333,4 мин 02 сек,k-pop,"K-pop means Korean pop, which is a musical genre, sometimes described more as an umbrella term, consisting of different music styles, including hip-hop, rap, jazz, r&b, dance, rock music and ballads. The name for the genre is first recorded in English around 1990–95. Strongly influenced by Western popular music, K-pop took off in 1992 with Seo Taiji and Boys, who incorporated rap, rock, and dance elements into Korean popular music.
Modern K-pop ""idol"" culture began later in the 1990s, as K-pop idol music grew into a subculture.",2196700,2551382152
Jung Kook,Seven (feat. Latto) (Explicit Ver.),797207,88799268,10,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto)+(Explicit+Ver.),https://www.last.fm/music/Jung+Kook,3.05,3 мин 03 сек,k-pop,"K-pop means Korean pop, which is a musical genre, sometimes described more as an umbrella term, consisting of different music styles, including hip-hop, rap, jazz, r&b, dance, rock music and ballads. The name for the genre is first recorded in English around 1990–95. Strongly influenced by Western popular music, K-pop took off in 1992 with Seo Taiji and Boys, who incorporated rap, rock, and dance elements into Korean popular music.
Modern K-pop ""idol"" culture began later in the 1990s, as K-pop idol music grew into a subculture.",1338717,734646247
